epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.02881,0.59489,0.5669,0.9781,0.99868,1,0.995,0.93433,0.35059,0.56009,0.8218,8e-05,8e-05,8e-05
2,7.93664,0.5221,0.56244,0.95563,0.99608,1,0.995,0.95442,0.31604,0.4765,0.81592,0.000178218,0.000178218,0.000178218
3,11.9769,0.47492,0.50322,0.89767,0.99766,1,0.995,0.93814,0.34703,0.44067,0.82047,0.000274456,0.000274456,0.000274456
4,15.8504,0.48463,0.52272,0.90172,0.99797,1,0.995,0.95403,0.30496,0.40594,0.81281,0.000368714,0.000368714,0.000368714
5,20.0979,0.51434,0.49916,0.92136,0.99796,1,0.995,0.94665,0.34062,0.40474,0.81818,0.000460992,0.000460992,0.000460992
6,23.922,0.501,0.51827,0.92718,0.99787,1,0.995,0.93342,0.33015,0.41818,0.81568,0.00055129,0.00055129,0.00055129
7,27.7477,0.45235,0.47157,0.91555,0.99763,1,0.995,0.9463,0.34374,0.43685,0.82064,0.000639608,0.000639608,0.000639608
8,31.4078,0.50029,0.47961,0.87352,0.99766,1,0.995,0.9798,0.30162,0.42363,0.81643,0.000725946,0.000725946,0.000725946
9,35.0713,0.49272,0.49785,0.88113,0.99769,1,0.995,0.95439,0.32485,0.39857,0.82211,0.000810304,0.000810304,0.000810304
10,38.5962,0.48468,0.48924,0.9063,0.99766,1,0.995,0.9526,0.33651,0.44074,0.82099,0.000892682,0.000892682,0.000892682
11,42.2181,0.51001,0.48021,0.88671,0.99852,1,0.995,0.95439,0.29087,0.40486,0.8202,0.00097308,0.00097308,0.00097308
12,45.7329,0.52932,0.51095,0.90443,0.99891,1,0.995,0.91645,0.36931,0.39843,0.84327,0.0010515,0.0010515,0.0010515
13,49.3982,0.47955,0.49324,0.88873,0.99751,1,0.995,0.94942,0.32179,0.40263,0.81871,0.00112794,0.00112794,0.00112794
14,52.9654,0.4926,0.49977,0.8876,0.99663,1,0.995,0.95538,0.32835,0.37209,0.82081,0.00120239,0.00120239,0.00120239
15,56.5392,0.50183,0.48209,0.89373,0.99761,1,0.995,0.95058,0.30363,0.37663,0.81792,0.00127487,0.00127487,0.00127487
16,60.0724,0.59427,0.53442,0.92463,0.99767,1,0.995,0.93163,0.34671,0.35619,0.82486,0.00134537,0.00134537,0.00134537
17,63.6659,0.53297,0.50683,0.91229,0.99756,1,0.995,0.93155,0.38584,0.37654,0.83251,0.00141389,0.00141389,0.00141389
18,67.4227,0.48253,0.47035,0.90343,0.9977,1,0.995,0.95557,0.334,0.36695,0.82259,0.00148043,0.00148043,0.00148043
19,71.0698,0.47549,0.4635,0.87888,0.99762,1,0.995,0.92137,0.34797,0.37739,0.82378,0.00154498,0.00154498,0.00154498
20,74.7078,0.5263,0.48,0.93115,0.99796,1,0.995,0.94218,0.31844,0.38775,0.82154,0.00160756,0.00160756,0.00160756
21,78.357,0.52695,0.49245,0.91147,0.99796,1,0.995,0.96744,0.28593,0.35243,0.81504,0.001604,0.001604,0.001604
22,82.002,0.51629,0.48567,0.90938,0.99802,1,0.995,0.97419,0.27392,0.37293,0.814,0.0015842,0.0015842,0.0015842
23,85.6532,0.47105,0.46438,0.88471,0.9973,1,0.995,0.96507,0.29786,0.40856,0.81627,0.0015644,0.0015644,0.0015644
24,89.3324,0.52351,0.49449,0.91965,0.9966,1,0.995,0.94895,0.31974,0.41815,0.81764,0.0015446,0.0015446,0.0015446
25,92.9942,0.50716,0.47893,0.90647,0.9956,1,0.995,0.96053,0.32703,0.43235,0.81862,0.0015248,0.0015248,0.0015248
26,96.6969,0.53581,0.4809,0.89521,0.99609,1,0.995,0.93047,0.31315,0.41692,0.81417,0.001505,0.001505,0.001505
27,100.34,0.59433,0.51036,0.9938,0.99638,1,0.995,0.94798,0.32471,0.38941,0.81817,0.0014852,0.0014852,0.0014852
28,104.039,0.49215,0.4372,0.89908,0.99674,1,0.995,0.96201,0.29488,0.36729,0.81536,0.0014654,0.0014654,0.0014654
